epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,74.8072,0.56184,0.40061,0.98512,0.9807,1,0.995,0.85383,0.62472,0.37803,1.05179,0.001043,0.001043,0.001043
60,75.7477,0.58334,0.43357,1.0044,0.99533,1,0.995,0.86114,0.59021,0.3653,1.03595,0.0010265,0.0010265,0.0010265
61,76.6819,0.59416,0.40807,1.00899,0.99754,1,0.995,0.88897,0.57152,0.3827,0.99992,0.00101,0.00101,0.00101
62,77.6343,0.56923,0.39555,0.98676,0.99813,1,0.995,0.85632,0.58951,0.33999,1.00419,0.0009935,0.0009935,0.0009935
63,78.5841,0.60572,0.40394,1.01175,0.99812,1,0.995,0.86132,0.59357,0.31895,1.01089,0.000977,0.000977,0.000977
64,79.5158,0.56136,0.38954,0.98954,0.99803,1,0.995,0.86815,0.57965,0.3171,1.00973,0.0009605,0.0009605,0.0009605
65,80.461,0.5867,0.40307,1.01547,0.99805,1,0.995,0.86427,0.60155,0.31786,1.02644,0.000944,0.000944,0.000944
66,81.3954,0.53031,0.37662,0.99897,0.99808,1,0.995,0.85546,0.62826,0.33567,1.0312,0.0009275,0.0009275,0.0009275
67,82.3297,0.5454,0.37762,0.97874,0.99816,1,0.995,0.84731,0.61382,0.3245,1.01658,0.000911,0.000911,0.000911
68,83.2645,0.56996,0.37267,1.01002,0.99824,1,0.995,0.87079,0.59146,0.30191,1.00833,0.0008945,0.0008945,0.0008945
69,84.1937,0.56783,0.38338,1.00572,0.99827,1,0.995,0.87412,0.57417,0.29126,0.99693,0.000878,0.000878,0.000878
70,85.1391,0.56858,0.38779,1.03062,0.99824,1,0.995,0.86727,0.56342,0.28866,0.98549,0.0008615,0.0008615,0.0008615
71,86.0677,0.58404,0.40447,1.0062,0.99795,1,0.995,0.8639,0.55454,0.30655,0.99108,0.000845,0.000845,0.000845
72,87.004,0.52255,0.36295,0.98535,0.99563,1,0.995,0.86016,0.5727,0.30877,1.01238,0.0008285,0.0008285,0.0008285
73,87.943,0.52374,0.37971,0.95321,0.99232,1,0.995,0.85666,0.5667,0.30732,1.0194,0.000812,0.000812,0.000812
74,88.8739,0.5155,0.34047,0.95666,0.99791,1,0.995,0.88278,0.56181,0.29237,1.01393,0.0007955,0.0007955,0.0007955
75,89.8037,0.54053,0.36103,0.98687,0.99791,1,0.995,0.8776,0.54442,0.25823,0.98498,0.000779,0.000779,0.000779
76,90.7419,0.56398,0.35954,0.99446,0.99805,1,0.995,0.87329,0.54866,0.25873,0.98637,0.0007625,0.0007625,0.0007625
77,91.6724,0.51409,0.35159,0.94875,0.99813,1,0.995,0.85122,0.56036,0.26934,1.0086,0.000746,0.000746,0.000746
78,92.6089,0.54018,0.34861,1.00299,0.99817,1,0.995,0.87551,0.55232,0.26703,0.99667,0.0007295,0.0007295,0.0007295
79,93.5483,0.52998,0.36642,0.99317,0.99816,1,0.995,0.88109,0.54517,0.25964,0.98841,0.000713,0.000713,0.000713
80,94.4849,0.54708,0.36631,0.98856,0.99815,1,0.995,0.88204,0.54507,0.26918,0.9923,0.0006965,0.0006965,0.0006965
81,95.4141,0.48958,0.3426,0.93361,0.99814,1,0.995,0.884,0.54489,0.25816,0.99417,0.00068,0.00068,0.00068
82,96.368,0.50442,0.34657,0.96783,0.99813,1,0.995,0.88021,0.55841,0.27199,0.99957,0.0006635,0.0006635,0.0006635
83,97.3064,0.55017,0.37686,0.99506,0.99818,1,0.995,0.8726,0.55783,0.27815,0.99847,0.000647,0.000647,0.000647
84,98.2573,0.49353,0.35049,0.95549,0.9981,1,0.995,0.85362,0.57483,0.28651,0.99598,0.0006305,0.0006305,0.0006305
85,99.189,0.50135,0.35189,0.99676,0.99814,1,0.995,0.86911,0.56165,0.2898,1.00368,0.000614,0.000614,0.000614
86,100.124,0.49574,0.33509,0.95059,0.99812,1,0.995,0.8676,0.54064,0.26385,0.99858,0.0005975,0.0005975,0.0005975
87,101.053,0.52564,0.34115,0.98202,0.99817,1,0.995,0.86233,0.54893,0.26203,0.99938,0.000581,0.000581,0.000581
88,101.983,0.48801,0.32856,0.96608,0.9982,1,0.995,0.86128,0.563,0.25953,1.00001,0.0005645,0.0005645,0.0005645
89,102.921,0.53665,0.32993,0.99519,0.99821,1,0.995,0.864,0.55342,0.26231,0.99589,0.000548,0.000548,0.000548
90,103.861,0.48884,0.30656,0.97609,0.99821,1,0.995,0.85714,0.53976,0.25104,1.00368,0.0005315,0.0005315,0.0005315
91,104.799,0.48058,0.31729,0.94541,0.99822,1,0.995,0.84577,0.56505,0.2629,1.01692,0.000515,0.000515,0.000515
92,105.742,0.47984,0.31817,0.96074,0.99823,1,0.995,0.85065,0.5621,0.26447,1.00375,0.0004985,0.0004985,0.0004985
93,106.68,0.46048,0.3162,0.95375,0.99818,1,0.995,0.86242,0.5494,0.26237,0.99578,0.000482,0.000482,0.000482
94,107.616,0.49165,0.31662,0.95598,0.99817,1,0.995,0.85945,0.54999,0.2629,1.00199,0.0004655,0.0004655,0.0004655
95,108.55,0.5136,0.33645,0.98121,0.99814,1,0.995,0.87565,0.52801,0.24873,0.98884,0.000449,0.000449,0.000449
96,109.499,0.47845,0.3138,0.95945,0.99813,1,0.995,0.89303,0.51252,0.25381,0.97762,0.0004325,0.0004325,0.0004325
97,110.449,0.48312,0.32345,0.96983,0.99814,1,0.995,0.90181,0.50125,0.2481,0.97435,0.000416,0.000416,0.000416
98,111.386,0.47199,0.30806,0.96772,0.99816,1,0.995,0.87533,0.51615,0.25329,0.991,0.0003995,0.0003995,0.0003995
99,112.315,0.47025,0.31312,0.96052,0.9977,1,0.995,0.88408,0.52071,0.25922,0.99976,0.000383,0.000383,0.000383
100,113.248,0.50754,0.31708,0.97811,0.9982,1,0.995,0.87694,0.51975,0.27319,0.99711,0.0003665,0.0003665,0.0003665
101,114.18,0.46974,0.30983,0.95856,0.99816,1,0.995,0.88468,0.51817,0.26852,0.99229,0.00035,0.00035,0.00035
102,115.107,0.47477,0.31388,0.9521,0.99821,1,0.995,0.88384,0.51669,0.2603,0.98778,0.0003335,0.0003335,0.0003335
103,116.033,0.49752,0.323,0.96469,0.99818,1,0.995,0.87436,0.52299,0.26074,0.9872,0.000317,0.000317,0.000317
104,116.969,0.45043,0.30634,0.94112,0.9982,1,0.995,0.87633,0.53793,0.26713,0.99711,0.0003005,0.0003005,0.0003005
105,117.904,0.42866,0.28459,0.92849,0.9982,1,0.995,0.8687,0.53687,0.25338,0.99817,0.000284,0.000284,0.000284
106,118.844,0.49092,0.32652,0.96558,0.9982,1,0.995,0.86875,0.5303,0.24598,0.99319,0.0002675,0.0002675,0.0002675
107,119.773,0.42919,0.27999,0.94191,0.99821,1,0.995,0.86513,0.52737,0.24098,0.99272,0.000251,0.000251,0.000251
108,120.717,0.4482,0.30343,0.95548,0.99824,1,0.995,0.86425,0.53447,0.23885,1.00186,0.0002345,0.0002345,0.0002345
109,121.652,0.42596,0.28962,0.93025,0.99821,1,0.995,0.8652,0.53327,0.24238,1.0044,0.000218,0.000218,0.000218
110,122.587,0.42065,0.27976,0.92379,0.99823,1,0.995,0.8695,0.52857,0.23676,1.00643,0.0002015,0.0002015,0.0002015
111,125.365,0.31869,0.30579,0.89466,0.99824,1,0.995,0.87629,0.5178,0.24156,0.99884,0.000185,0.000185,0.000185
112,126.624,0.31853,0.30034,0.87862,0.99823,1,0.995,0.89071,0.51112,0.24643,0.98889,0.0001685,0.0001685,0.0001685
113,127.836,0.32714,0.28045,0.84768,0.99821,1,0.995,0.88164,0.50888,0.24828,0.98675,0.000152,0.000152,0.000152
114,128.807,0.32149,0.27215,0.84243,0.99823,1,0.995,0.86642,0.51363,0.24403,0.99414,0.0001355,0.0001355,0.0001355
115,129.788,0.31614,0.26737,0.85115,0.99819,1,0.995,0.86385,0.52371,0.24193,1.00219,0.000119,0.000119,0.000119
116,130.725,0.30513,0.26236,0.84314,0.99815,1,0.995,0.8693,0.53003,0.24452,1.00684,0.0001025,0.0001025,0.0001025
117,131.664,0.29741,0.24588,0.83313,0.99811,1,0.995,0.86528,0.52934,0.24101,1.01039,8.6e-05,8.6e-05,8.6e-05
118,132.613,0.30653,0.2482,0.8655,0.99808,1,0.995,0.86458,0.52669,0.24144,1.00797,6.95e-05,6.95e-05,6.95e-05
119,133.556,0.29985,0.23842,0.83825,0.99811,1,0.995,0.86895,0.52623,0.24026,1.01133,5.3e-05,5.3e-05,5.3e-05
120,134.488,0.304,0.25305,0.85878,0.99809,1,0.995,0.8714,0.52503,0.24081,1.01089,3.65e-05,3.65e-05,3.65e-05
